Transaction_ID,Interaction_Speed,Repeated_Attempts,User_History,Session_Length,Browser_Change,Uncommon_Service,Fraud
1,3.31483699,0,Frequent,280,1,1,0
2,2.383041531,0,Rare,330,1,0,0
3,3.163407384,1,Normal,300,1,0,0
4,2.667297887,1,Normal,220,0,1,0
5,2.018375272,1,Normal,230,0,1,0
6,2.937828167,0,Normal,210,1,0,0
7,1.681056117,0,Normal,260,1,1,0
8,2.486114345,1,Normal,160,0,1,0
9,3.007179266,0,Normal,360,1,1,0
10,2.836254056,0,Normal,170,1,0,0
11,2.704613043,0,Normal,380,1,1,0
12,3.259021592,1,Normal,350,0,1,0
13,1.893717455,0,Frequent,340,1,0,0
14,2.436004119,0,Frequent,250,1,1,0
15,3.168027427,0,Normal,140,0,0,0
16,2.802483627,2,Frequent,260,1,1,0
17,2.969706893,1,Frequent,120,1,1,0
18,2.351319668,0,Normal,230,0,1,0
19,2.876723574,2,Normal,230,0,1,0
20,1.576371252,1,Normal,360,1,1,0
21,3.129678667,1,Frequent,220,1,1,0
22,2.478663737,0,Normal,320,0,0,0
23,3.173975594,0,Rare,230,0,0,0
24,3.371911341,0,Normal,210,1,1,0
25,3.402007626,2,Normal,250,1,0,0
26,3.039131064,0,Frequent,330,0,1,0
27,3.150156825,1,Rare,410,1,1,0
28,3.22750862,1,Normal,290,1,1,0
29,2.267099653,1,Normal,280,1,1,0
30,3.25960918,0,Normal,260,1,1,0
31,3.398455427,0,Normal,130,1,0,0
32,2.76067179,1,Normal,140,0,0,0
33,2.469142778,0,Normal,310,0,1,0
34,3.614192285,0,Frequent,230,1,1,0
35,2.578426335,2,Normal,360,0,1,0
36,2.921453642,0,Normal,390,1,0,0
37,2.819606657,1,Normal,300,0,1,0
38,2.254530197,0,Normal,340,0,0,0
39,3.046381377,1,Normal,290,0,1,0
40,2.202654994,2,Frequent,150,1,1,0
41,3.16028549,1,Normal,170,0,0,0
42,3.201301597,0,Normal,250,0,0,0
43,2.049164904,0,Normal,280,0,0,0
44,3.088996894,1,Normal,370,1,0,0
45,2.117808874,1,Normal,390,1,1,0
46,3.259246691,2,Normal,150,1,1,0
47,2.549755536,0,Normal,320,1,0,0
48,2.495321367,2,Normal,290,0,0,0
49,2.792415943,0,Normal,310,1,0,0
50,2.708628322,0,Normal,210,1,1,0
51,2.225109452,1,Normal,330,1,1,0
52,2.228397396,1,Normal,330,1,1,0
53,1.55354714,1,Frequent,270,0,1,0
54,1.086058885,1,Normal,310,0,1,1
55,3.316160622,0,Normal,380,0,0,0
56,2.52000315,0,Rare,270,0,1,0
57,1.693816387,1,Frequent,300,1,1,0
58,3.395304026,3,Frequent,370,1,0,0
59,3.10811716,0,Frequent,280,0,1,0
60,2.249119791,1,Normal,270,1,1,0
61,2.916997762,0,Normal,160,0,0,0
62,2.401531099,1,Normal,220,0,1,0
63,2.822259716,1,Normal,350,1,0,0
64,3.085159032,1,Normal,350,1,0,0
65,3.09291661,0,Frequent,220,1,1,0
66,3.188087578,0,Normal,200,1,1,0
67,3.706698277,0,Normal,330,1,0,0
68,2.60328106,0,Normal,130,0,1,0
69,3.14255091,1,Rare,160,0,1,0
70,2.019002088,0,Normal,360,1,1,0
71,2.137888243,1,Normal,340,1,1,0
72,1.950285092,0,Normal,160,0,0,0
73,2.403476695,0,Rare,330,1,1,0
74,1.947855779,0,Normal,360,0,0,0
75,3.07220022,0,Normal,260,1,1,0
76,2.249279025,0,Normal,270,0,1,0
77,2.512162418,1,Normal,290,1,0,0
78,2.893883706,1,Normal,350,1,0,0
79,2.595412179,1,Normal,350,0,0,0
80,2.611043082,1,Frequent,220,1,0,0
81,3.395963895,1,Normal,260,1,1,0
82,2.643796023,0,Normal,330,1,0,0
83,2.019058697,0,Rare,160,0,1,0
84,2.85546162,0,Normal,380,1,1,0
85,3.272710729,1,Frequent,240,1,1,0
86,1.831166167,2,Normal,320,0,0,0
87,2.808767457,0,Normal,340,1,1,0
88,2.75587348,2,Normal,250,1,0,0
89,3.969754761,1,Normal,380,0,0,0
90,2.757406072,0,Normal,220,0,1,0
91,3.125479401,0,Normal,200,1,1,0
92,2.651149618,0,Normal,320,1,1,0
93,2.378557608,2,Normal,290,1,0,0
94,2.802900408,0,Normal,270,1,1,0
95,2.671051707,2,Normal,230,0,1,0
96,2.460369167,0,Normal,280,1,1,0
97,2.332549493,1,Normal,260,0,0,0
98,2.891101496,0,Normal,270,1,1,0
99,2.633840865,0,Normal,240,1,0,0
100,2.968698352,2,Normal,240,1,1,0
101,2.539855299,0,Rare,250,0,1,0
102,3.214893188,1,Normal,300,1,1,0
103,1.949084777,1,Frequent,350,1,0,0
104,2.217397789,0,Frequent,240,0,1,0
105,2.296634329,0,Frequent,270,1,1,0
106,2.750051118,0,Normal,340,1,0,0
107,3.120248333,0,Normal,340,0,1,0
108,2.908193836,0,Normal,90,1,0,1
109,3.390027073,0,Normal,200,1,1,0
110,2.319829017,0,Frequent,250,1,1,0
111,2.811309885,0,Normal,190,1,0,0
112,3.523127129,0,Normal,280,0,1,0
113,2.979682162,2,Rare,190,1,1,0
114,3.162151981,1,Normal,250,0,0,0
115,3.096476712,0,Rare,210,1,1,0
116,3.161875925,1,Normal,210,1,0,0
117,3.242221422,1,Normal,380,1,1,0
118,2.550261873,1,Frequent,230,1,1,0
119,2.322269633,1,Normal,160,1,1,0
120,2.646519998,0,Normal,300,1,1,0
121,3.237802895,2,Normal,280,1,0,0
122,3.247597896,1,Normal,220,0,1,0
123,2.446745824,0,Normal,260,0,0,0
124,2.587111586,0,Normal,260,0,0,0
125,2.804369321,0,Rare,200,1,1,0
126,2.563006356,0,Normal,300,1,0,0
127,2.791023392,0,Normal,380,1,0,0
128,3.225606394,2,Normal,200,0,0,0
129,3.60716757,0,Normal,210,0,1,0
130,3.399710086,1,Normal,320,0,1,0
131,2.73056058,2,Rare,220,1,0,0
132,1.82291925,0,Normal,330,0,0,0
133,2.605375868,0,Normal,240,1,0,0
134,2.882767211,0,Frequent,200,0,0,0
135,1.727695365,1,Normal,390,0,0,0
136,2.827824869,0,Rare,320,1,0,0
137,2.401959858,1,Normal,170,1,0,0
138,3.272915739,0,Normal,330,0,1,0
139,2.770809988,0,Normal,230,0,0,0
140,1.831357937,0,Normal,250,0,1,0
141,2.046797696,1,Frequent,160,1,1,0
142,2.191316622,0,Normal,250,0,1,0
143,2.931365094,0,Normal,310,0,0,0
144,2.304207964,0,Frequent,230,1,1,0
145,3.259810844,0,Normal,350,1,1,0
146,2.796825292,0,Normal,310,0,1,0
147,2.939289408,0,Normal,230,0,0,0
148,2.463043601,0,Normal,150,0,1,0
149,3.132655403,1,Normal,340,0,1,0
150,2.257329081,2,Rare,340,1,1,0
151,1.628981032,0,Frequent,230,0,1,0
152,3.213862076,2,Rare,230,1,1,0
153,2.780365282,0,Frequent,210,1,1,0
154,2.93726,0,Normal,150,1,0,0
155,3.815141742,1,Rare,270,1,0,0
156,1.744431283,1,Frequent,290,1,1,0
157,2.608674395,0,Normal,230,0,1,0
158,2.070821022,0,Normal,350,1,0,0
159,2.204899481,1,Normal,210,1,1,0
160,3.175166488,0,Normal,300,1,1,0
